"RN","CLIENTE","CD_ALOCACAO","DATA_HORA_VAZAO","TURNO","DATA_SAIDA_CAMINHAO","DATA_CHEGADA_CAMINHAO","DESCRICAO_TIPO_CARGA","PESO_PADRAO","DISTANCIA","VAZAO_FRENTE"
1,CERRADINHO,632831,2024-10-14 00:59:00.000,NOITE,2024-10-14 01:00:00.000,2024-10-14 01:00:42.000,RODOTREM PROPRIO,60,49.22,
1,CERRADINHO,632826,2024-10-14 00:27:00.000,NOITE,2024-10-14 00:28:31.000,2024-10-14 02:06:22.000,RODOTREM PROPRIO,60,16.24,88.95
1,CERRADINHO,632824,2024-10-14 00:09:00.000,NOITE,2024-10-14 00:09:39.000,2024-10-14 02:18:43.000,RODOTREM TERCEIRO,60,31.73,111.66
1,CERRADINHO,632830,2024-10-14 00:39:00.000,NOITE,2024-10-14 00:39:29.000,2024-10-14 02:25:31.000,RODOTREM TERCEIRO,60,28.01,252.99
1,CERRADINHO,632827,2024-10-14 00:27:00.000,NOITE,2024-10-14 00:28:59.000,2024-10-14 02:27:07.000,RODOTREM TERCEIRO,60,28.01,252.99
1,CERRADINHO,632851,2024-10-14 02:25:00.000,NOITE,2024-10-14 02:25:28.000,2024-10-14 02:35:03.000,RODOTREM PROPRIO,60,49.22,
1,CERRADINHO,632828,2024-10-14 00:31:00.000,NOITE,2024-10-14 00:31:34.000,2024-10-14 02:38:45.000,RODOTREM PROPRIO,60,31.73,111.66
1,CERRADINHO,632834,2024-10-14 01:05:00.000,NOITE,2024-10-14 01:05:42.000,2024-10-14 02:52:35.000,RODOTREM TERCEIRO,60,28.01,168.66
1,CERRADINHO,632843,2024-10-14 01:49:00.000,NOITE,2024-10-14 01:49:36.000,2024-10-14 03:19:58.000,RODOTREM TERCEIRO,60,28.01,220.38
1,CERRADINHO,632823,2024-10-14 00:07:00.000,NOITE,2024-10-14 00:07:48.000,2024-10-14 03:21:19.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632832,2024-10-14 01:01:00.000,NOITE,2024-10-14 01:01:10.000,2024-10-14 03:25:00.000,RODOTREM PROPRIO,60,30.26,
1,CERRADINHO,632844,2024-10-14 01:51:00.000,NOITE,2024-10-14 01:51:07.000,2024-10-14 03:44:19.000,RODOTREM PROPRIO,60,16.24,0
1,CERRADINHO,632848,2024-10-14 02:07:00.000,NOITE,2024-10-14 02:08:42.000,2024-10-14 03:48:16.000,RODOTREM PROPRIO,60,23.84,156.58
1,CERRADINHO,632853,2024-10-14 02:29:00.000,NOITE,2024-10-14 02:29:34.000,2024-10-14 03:54:38.000,RODOTREM PROPRIO,60,28.01,273.86
1,CERRADINHO,632847,2024-10-14 02:07:00.000,NOITE,2024-10-14 02:07:34.000,2024-10-14 04:04:29.000,RODOTREM PROPRIO,60,31.73,132.21
1,CERRADINHO,632849,2024-10-14 02:11:00.000,NOITE,2024-10-14 02:11:56.000,2024-10-14 04:04:42.000,RODOTREM PROPRIO,60,28.01,273.86
1,CERRADINHO,632829,2024-10-14 00:33:00.000,NOITE,2024-10-14 00:33:29.000,2024-10-14 04:07:29.000,RODOTREM PROPRIO,60,45.77,
1,CERRADINHO,632836,2024-10-14 01:11:00.000,NOITE,2024-10-14 01:12:33.000,2024-10-14 04:09:41.000,RODOTREM PROPRIO,60,30.26,
1,CERRADINHO,632822,2024-10-14 00:03:00.000,NOITE,2024-10-14 00:04:00.000,2024-10-14 04:11:00.000,RODOTREM PROPRIO,60,64.16,
1,CERRADINHO,632854,2024-10-14 02:31:00.000,NOITE,2024-10-14 02:31:45.000,2024-10-14 04:13:41.000,RODOTREM PROPRIO,60,16.24,0
1,CERRADINHO,632825,2024-10-14 00:21:00.000,NOITE,2024-10-14 00:21:39.000,2024-10-14 04:24:28.000,RODOTREM PROPRIO,60,64.16,
1,CERRADINHO,632858,2024-10-14 02:51:00.000,NOITE,2024-10-14 02:51:06.000,2024-10-14 04:29:17.000,RODOTREM PROPRIO,60,31.73,137.47
1,CERRADINHO,632839,2024-10-14 01:35:00.000,NOITE,2024-10-14 01:35:31.000,2024-10-14 04:33:07.000,RODOTREM TERCEIRO,60,31.73,134.5
1,CERRADINHO,632860,2024-10-14 03:03:00.000,NOITE,2024-10-14 03:03:37.000,2024-10-14 04:40:12.000,RODOTREM PROPRIO,60,23.84,152.98
1,CERRADINHO,632864,2024-10-14 03:19:00.000,NOITE,2024-10-14 03:19:46.000,2024-10-14 04:57:20.000,RODOTREM PROPRIO,60,23.84,152.98
1,CERRADINHO,632867,2024-10-14 03:27:00.000,NOITE,2024-10-14 03:28:38.000,2024-10-14 05:00:50.000,RODOTREM PROPRIO,60,28.01,191.33
1,CERRADINHO,632833,2024-10-14 01:03:00.000,NOITE,2024-10-14 01:04:37.000,2024-10-14 05:07:30.000,RODOTREM PROPRIO,60,49.22,
1,CERRADINHO,632837,2024-10-14 01:23:00.000,NOITE,2024-10-14 01:24:02.000,2024-10-14 05:12:04.000,RODOTREM PROPRIO,60,64.16,
