"RN","CLIENTE","CD_ALOCACAO","DATA_HORA","TURNO","DATA_SAIDA_CAMINHAO","DATA_CHEGADA_CAMINHAO","DESCRICAO_TIPO_CARGA","PESO_PADRAO","DISTANCIA","VAZAO_FRENTE","SALDO_VAZAO","EXCESSO_CAMINHAO","CD_FAZENDA_LIBERADA","DESCRICAO_FAZENDA","ALOCACAO_COM_PARADA"
1,USL,147158,2024-04-24 10:48:00.000,MANHA,2024-04-24 10:49:46.000,2024-04-24 11:14:20.000,RODOTREM PROPRIO,33,1.7,,,N,6567,Sitio Trinta e Dois Alqueires ,NAO
1,USL,147160,2024-04-24 11:40:00.000,MANHA,2024-04-24 11:40:33.000,2024-04-24 13:45:44.000,RODOTREM PROPRIO,33,1.7,,,S,6567,Sitio Trinta e Dois Alqueires ,NAO
1,USL,147162,2024-04-24 13:51:00.000,MANHA,2024-04-24 13:52:56.000,2024-04-24 14:26:46.000,RODOTREM PROPRIO,33,1.7,,,S,6567,Sitio Trinta e Dois Alqueires ,NAO
1,USL,147165,2024-04-24 14:56:00.000,MANHA,2024-04-24 14:56:35.000,2024-04-24 15:16:08.000,RODOTREM PROPRIO,33,1.7,,,S,6567,Sitio Trinta e Dois Alqueires ,NAO
1,USL,147166,2024-04-24 17:51:00.000,MANHA,2024-04-24 17:51:01.000,2024-04-24 18:08:45.000,RODOTREM PROPRIO,33,5.47,,0,N,6524,Faz Sebastião Turim ,NAO
1,USL,147167,2024-04-24 18:10:00.000,MANHA,2024-04-24 18:10:41.000,2024-04-24 18:40:49.000,RODOTREM PROPRIO,33,10.52,,60,N,6583,Sitio Bassite ,NAO
1,USL,147178,2024-04-25 09:44:00.000,MANHA,2024-04-25 09:44:43.000,2024-04-25 12:47:50.000,RODOTREM PROPRIO,33,5.46,,60,,6603,Sitio Pegorer ,SIM
1,USL,147179,2024-04-25 15:34:00.000,MANHA,2024-04-25 15:35:36.000,2024-04-25 15:44:05.000,RODOTREM PROPRIO,33,10.52,,60,N,6583,Sitio Bassite ,NAO
1,USL,147180,2024-04-25 15:44:00.000,MANHA,2024-04-25 15:44:37.000,2024-04-25 16:19:00.000,RODOTREM PROPRIO,33,10.52,,60,S,6583,Sitio Bassite ,NAO
1,USL,147181,2024-04-25 16:20:00.000,MANHA,2024-04-25 16:20:35.000,2024-04-25 16:35:50.000,RODOTREM PROPRIO,33,3.07,,60,N,6623,Faz Gamelao ,NAO
1,USL,147182,2024-04-25 16:36:00.000,MANHA,2024-04-25 16:36:46.000,2024-04-25 16:50:42.000,RODOTREM PROPRIO,33,3.07,,60,S,6623,Faz Gamelao ,NAO
